id,value,feed_id,created_at,lat,lon,ele
0FD555WJ3KRG2S5QMVRS0XYBVT,27.9,2609495,2023-09-12 03:29:27 UTC,,,
0FD55628CGX9XS034GSW8C8JKB,27.9,2609495,2023-09-12 03:29:46 UTC,,,
0FD5567YN1VDQ7VM87J5SASGG2,27.9,2609495,2023-09-12 03:30:04 UTC,,,
0FD556DMVRQDN6254HXBCAG72E,27.8,2609495,2023-09-12 03:30:23 UTC,,,
0FD556KB1HM532A5Q0SWHTC8DF,27.8,2609495,2023-09-12 03:30:42 UTC,,,
0FD556S135FTWB84T7JMQQCCVH,27.7,2609495,2023-09-12 03:31:00 UTC,,,
0FD556YPYV701JYZN5J07Y5WK1,27.7,2609495,2023-09-12 03:31:19 UTC,,,
0FD5574D3B947NHGH0MX5SCSF5,27.7,2609495,2023-09-12 03:31:38 UTC,,,
0FD557A38MD08D626TNQ9W5WT1,27.7,2609495,2023-09-12 03:31:56 UTC,,,
0FD557FSF60DD0W8APGMZN1H1A,27.6,2609495,2023-09-12 03:32:15 UTC,,,
0FD557NFZB7J7EFMV1CQ95NMFN,27.6,2609495,2023-09-12 03:32:34 UTC,,,
0FD557V6668GAWCYV7ASFEVMSA,27.6,2609495,2023-09-12 03:32:52 UTC,,,
0FD5580WGA1GZP40FAKNHAP33Y,27.6,2609495,2023-09-12 03:33:11 UTC,,,
0FD5586JDMQJ2GJ6A2EFQ1AHGZ,27.5,2609495,2023-09-12 03:33:30 UTC,,,
0FD558C8RCXP03G1XF335PEBXT,27.5,2609495,2023-09-12 03:33:48 UTC,,,
0FD558HZ5CBXHXHGRV0XNK16AG,27.5,2609495,2023-09-12 03:34:07 UTC,,,
0FD558QN0KXQEQC71ZFPBDZB8W,27.5,2609495,2023-09-12 03:34:26 UTC,,,
0FD558XAVG60F46VF1P8YZ6M43,27.4,2609495,2023-09-12 03:34:44 UTC,,,
0FD55930Q0TBDSV02GY1P58V8H,27.4,2609495,2023-09-12 03:35:03 UTC,,,
0FD5598NTCAY3SSC1F9ZXSQE4H,27.4,2609495,2023-09-12 03:35:21 UTC,,,
0FD559EBVKH26D5B9BWS944YK4,27.4,2609495,2023-09-12 03:35:40 UTC,,,
0FD559M1RV3FBCYJTX9B2TEBF3,27.4,2609495,2023-09-12 03:35:59 UTC,,,
0FD559SQNHNJ11WHRW3XYVZ0E7,27.4,2609495,2023-09-12 03:36:17 UTC,,,
0FD559ZDBNF2ESSVRH2VYQ81Z2,27.4,2609495,2023-09-12 03:36:36 UTC,,,
0FD55A53RRJ43FYK7KRYHSM762,27.3,2609495,2023-09-12 03:36:55 UTC,,,
0FD55AASQ58WMQ2EN7FZMSEPMT,27.3,2609495,2023-09-12 03:37:13 UTC,,,
0FD55AGFWQYMT0C127NW1FYPJN,27.3,2609495,2023-09-12 03:37:32 UTC,,,
0FD55AP5PR5TJYE4VQ9ZQRS8JW,27.3,2609495,2023-09-12 03:37:50 UTC,,,
0FD55AVVZ7EP1AG3C1Q9DE43H5,27.3,2609495,2023-09-12 03:38:09 UTC,,,
0FD55B1HRR4FNCC64SSPTARKH3,27.3,2609495,2023-09-12 03:38:28 UTC,,,
0FD55B77XA64A6RPPVKKEYAAB2,27.3,2609495,2023-09-12 03:38:46 UTC,,,
0FD55BCY3B1N2FDVGCQ1ZNKE9T,27.3,2609495,2023-09-12 03:39:05 UTC,,,
0FD55BJM7ZRCEX4PRQS9JECQM6,27.3,2609495,2023-09-12 03:39:24 UTC,,,
0FD55BRAENEZ1AMD4X0M1MC64Y,27.3,2609495,2023-09-12 03:39:42 UTC,,,
0FD55BY0PE7HE7MVN8QJ5F2P6X,27.3,2609495,2023-09-12 03:40:01 UTC,,,
0FD55C3Q4H8M4WGHJF36SCCTEE,27.3,2609495,2023-09-12 03:40:20 UTC,,,
0FD55C9DE0AX7HW9W7H8T47WT2,27.3,2609495,2023-09-12 03:40:38 UTC,,,
0FD55CF3ZY5WCRMGS5ZNJ8QE8Z,27.3,2609495,2023-09-12 03:40:57 UTC,,,
0FD55CMT2D10PXYMJWHMNN36PP,27.3,2609495,2023-09-12 03:41:16 UTC,,,
0FD55CTGBJS1S5K80ZEPFV4F5F,27.3,2609495,2023-09-12 03:41:34 UTC,,,
0FD55D079K1PJMYZTJXJ9D4RB3,27.3,2609495,2023-09-12 03:41:53 UTC,,,
0FD55D5Y3DFMB4CQE943CWEYXW,27.3,2609495,2023-09-12 03:42:12 UTC,,,
0FD55DBMQZSXR5HC14KMVGKMQC,27.3,2609495,2023-09-12 03:42:30 UTC,,,
0FD55DHBN7K3A538H97VYBVF1K,27.3,2609495,2023-09-12 03:42:49 UTC,,,
0FD55DQ2CK694193EG7VPXE8GE,27.3,2609495,2023-09-12 03:43:08 UTC,,,
0FD55DWS2Z0N6SW3HTX8NA52V4,27.3,2609495,2023-09-12 03:43:27 UTC,,,
0FD55E2FTH9453SZMMZC4ZBEGA,27.3,2609495,2023-09-12 03:43:45 UTC,,,
0FD55E86M7FRBRP55PCSQ2RJMZ,27.3,2609495,2023-09-12 03:44:04 UTC,,,
0FD55EDWMYJB6B0H4RRW7XYWQN,27.3,2609495,2023-09-12 03:44:23 UTC,,,
0FD55EKJJKH0SQRVJP2YK7FX0E,27.3,2609495,2023-09-12 03:44:41 UTC,,,
0FD55ES8KX8RH0QY0PVSYJ8EP0,27.3,2609495,2023-09-12 03:45:00 UTC,,,
0FD55EYZ0BQHDSHJ4WARJF02VZ,27.3,2609495,2023-09-12 03:45:19 UTC,,,
0FD55F4MVANGNRR6KXSTZTBQ61,27.3,2609495,2023-09-12 03:45:37 UTC,,,
0FD55FAAKKZQZ9Q8R9DW20MHDB,27.3,2609495,2023-09-12 03:45:56 UTC,,,
0FD55FG0F9W10VXKE6HN5TRVP1,27.3,2609495,2023-09-12 03:46:15 UTC,,,
0FD55FNQ09XF31M1V9MGC7BF7C,27.3,2609495,2023-09-12 03:46:33 UTC,,,
0FD55FVDCMD70K5E1F6NEJP59P,27.3,2609495,2023-09-12 03:46:52 UTC,,,
0FD55G13CF2S6PM5J7EGTXP9RY,27.3,2609495,2023-09-12 03:47:11 UTC,,,
0FD55G6SRPRM1NDHQ6A3EY3VV5,27.3,2609495,2023-09-12 03:47:29 UTC,,,
0FD55GCG404P2VX5X1HSSTB0MV,27.3,2609495,2023-09-12 03:47:48 UTC,,,
0FD55GJ61EPVH4C4S1FZJ2EAWQ,27.3,2609495,2023-09-12 03:48:06 UTC,,,
0FD55GQVSKQHJHS94T0QEWV275,27.3,2609495,2023-09-12 03:48:25 UTC,,,
0FD55GXHR0AR9VRKEBHFT53NVE,27.3,2609495,2023-09-12 03:48:44 UTC,,,
0FD55H389F15ND1B2A0GJH1NSN,27.3,2609495,2023-09-12 03:49:02 UTC,,,
0FD55H8YCR912BVE67ZR1V0H7X,27.3,2609495,2023-09-12 03:49:21 UTC,,,
0FD55HEN0M8F6PH52VPDEHDX5D,27.3,2609495,2023-09-12 03:49:40 UTC,,,
0FD55HMB7X817BHQJ58PVCAB65,27.3,2609495,2023-09-12 03:49:58 UTC,,,
0FD55HT1BVAJGKMBT3P10RM6JK,27.3,2609495,2023-09-12 03:50:17 UTC,,,
0FD55HZQD0PGTT3PFXDRS44SPV,27.3,2609495,2023-09-12 03:50:36 UTC,,,
0FD55J5DAMB4TQQDRNEXHPN8SX,27.2,2609495,2023-09-12 03:50:54 UTC,,,
0FD55JB3JNR51BSGR4MY7A8VAW,27.2,2609495,2023-09-12 03:51:13 UTC,,,
0FD55JGSZFQJ8GPPHNJKA5QNCC,27.2,2609495,2023-09-12 03:51:32 UTC,,,
0FD55JPG2P4Q73A8CFKH03EP5N,27.2,2609495,2023-09-12 03:51:50 UTC,,,
0FD55JW69W88A1RDB00WD60KNG,27.2,2609495,2023-09-12 03:52:09 UTC,,,
0FD55K1WFWNXZGXH3MWCYNV772,27.2,2609495,2023-09-12 03:52:28 UTC,,,
0FD55K7JH01SM2TJY8M3ETH2YT,27.2,2609495,2023-09-12 03:52:46 UTC,,,
0FD55KD97ABR3363GT07Q916PG,27.2,2609495,2023-09-12 03:53:05 UTC,,,
0FD55KJZPQRJTM5X79FPHE5B1W,27.2,2609495,2023-09-12 03:53:24 UTC,,,
0FD55KRNZM1AWF98MBERG353TB,27.2,2609495,2023-09-12 03:53:42 UTC,,,
0FD55KYC89BJVK464365FKR5B4,27.2,2609495,2023-09-12 03:54:01 UTC,,,
0FD55M4214TF9M4VVN1C5537J4,27.2,2609495,2023-09-12 03:54:20 UTC,,,
0FD55M9QY4S6KR9MJYZQND3J8M,27.2,2609495,2023-09-12 03:54:38 UTC,,,
0FD55MFDZDP5P8KKAN0EBXBR2E,27.2,2609495,2023-09-12 03:54:57 UTC,,,
0FD55MN3SH5SZFE4FXVT52AF4X,27.2,2609495,2023-09-12 03:55:16 UTC,,,
0FD55MTSTB84CE9TGPM8QW2JX4,27.2,2609495,2023-09-12 03:55:34 UTC,,,
0FD55N0H779QNTYDPPHSVNA30Z,27.2,2609495,2023-09-12 03:55:53 UTC,,,
0FD55N663JJ66H76BJ3S2YG9PK,27.2,2609495,2023-09-12 03:56:11 UTC,,,
0FD55NBW4TJW65DCYQ676TNBEB,27.2,2609495,2023-09-12 03:56:30 UTC,,,
0FD55NHHS5PRN8PMTWZNREBKRJ,27.2,2609495,2023-09-12 03:56:49 UTC,,,
0FD55NQ7PECZGXWRP1XA4J7HYF,27.2,2609495,2023-09-12 03:57:07 UTC,,,
0FD55NWXJDERKSRH7Y4W41ZYN0,27.2,2609495,2023-09-12 03:57:26 UTC,,,
0FD55P2KQCH6S2F4DW7DPY2QD4,27.2,2609495,2023-09-12 03:57:45 UTC,,,
0FD55P8A3ARH0ZTP3ZAEPA6BN3,27.2,2609495,2023-09-12 03:58:03 UTC,,,
0FD55PE0VM9DQ7XCHH6PRWYFVB,27.2,2609495,2023-09-12 03:58:22 UTC,,,
0FD55PKQ0042T6MF0MKK0VM5HZ,27.2,2609495,2023-09-12 03:58:41 UTC,,,
0FD55PSD6S7M3TVRHX0AS4H2V7,27.2,2609495,2023-09-12 03:58:59 UTC,,,
0FD55PZ3FQC2V4GRZJC4W8ZDFF,27.2,2609495,2023-09-12 03:59:18 UTC,,,
0FD55Q4T3XR33ABDXZHWQN3YY3,27.2,2609495,2023-09-12 03:59:37 UTC,,,
0FD55QAG2A2RNP88EFNAC6Y0KZ,27.2,2609495,2023-09-12 03:59:55 UTC,,,
0FD55QG6D4NHNRN31R5PZ5AAJF,27.2,2609495,2023-09-12 04:00:14 UTC,,,
0FD55QNWGDZWQTBMETCWV9X2XY,27.2,2609495,2023-09-12 04:00:33 UTC,,,
0FD55QVJWKG02K08NRRV6DC13B,27.2,2609495,2023-09-12 04:00:51 UTC,,,
0FD55R19AZY1GA7Z33Y95HS66W,27.2,2609495,2023-09-12 04:01:10 UTC,,,
0FD55R6ZFX212DST4MZCACZ6F9,27.2,2609495,2023-09-12 04:01:29 UTC,,,
0FD55RCP95MEXHGCJP1YPQT6MG,27.2,2609495,2023-09-12 04:01:47 UTC,,,
0FD55RJD5MXZ8F33JN67J9TFS1,27.2,2609495,2023-09-12 04:02:06 UTC,,,
0FD55RR3CV850RK0PKN3RENZ9G,27.2,2609495,2023-09-12 04:02:25 UTC,,,
0FD55RXSKZSK6A7680SDE7A27A,27.2,2609495,2023-09-12 04:02:43 UTC,,,
0FD55S3FZ4VVTS38X8QCCZ92R2,27.2,2609495,2023-09-12 04:03:02 UTC,,,
0FD55S95DMD5SWVYZYMAGZB40F,27.2,2609495,2023-09-12 04:03:21 UTC,,,
0FD55SEVCMFSNCR5CBHMNQZDX1,27.2,2609495,2023-09-12 04:03:39 UTC,,,
0FD55SMHY03S0DNDESKHXJ2TQD,27.2,2609495,2023-09-12 04:03:58 UTC,,,
0FD55ST8C14R3YSZYK6G7EDMPV,27.2,2609495,2023-09-12 04:04:17 UTC,,,
0FD55SZYY834XH5A1WFPS1JDY0,27.2,2609495,2023-09-12 04:04:35 UTC,,,
0FD55T5N218B123RQH2AFS8XAC,27.2,2609495,2023-09-12 04:04:54 UTC,,,
0FD55TBBNQ05E7P1BH90VBGCST,27.2,2609495,2023-09-12 04:05:13 UTC,,,
0FD55TH1G8QEJ0Y7EC3QQBJK7Z,27.2,2609495,2023-09-12 04:05:31 UTC,,,
0FD55TPQVKY1BJVQ9835G56AZ3,27.2,2609495,2023-09-12 04:05:50 UTC,,,
0FD55TWDR6NGNTAZQGPNPB884H,27.2,2609495,2023-09-12 04:06:09 UTC,,,
0FD55V23YVKH6XAMSBZ47WNYCQ,27.2,2609495,2023-09-12 04:06:27 UTC,,,
0FD55V7TAF7P4FBK30AZ7RY2QD,27.2,2609495,2023-09-12 04:06:46 UTC,,,
0FD55VDGVKG279VX13H4PTRDH4,27.2,2609495,2023-09-12 04:07:05 UTC,,,
0FD55VK78XQJ788E5PHE551KP4,27.2,2609495,2023-09-12 04:07:23 UTC,,,
0FD55VRY1FJXC32FKM4AJS8YG6,27.2,2609495,2023-09-12 04:07:42 UTC,,,
0FD55VYMHXR5N7EYE3FA0T4PZ6,27.2,2609495,2023-09-12 04:08:01 UTC,,,
0FD55W4B3T2A5G2PRTF432QD13,27.2,2609495,2023-09-12 04:08:19 UTC,,,
0FD55WA186KGK6F07VPQDXW084,27.2,2609495,2023-09-12 04:08:38 UTC,,,
0FD55WFQFG94N7KF8GH696QP16,27.2,2609495,2023-09-12 04:08:57 UTC,,,
0FD55WNDQ5DP4W3V8NXJ3GRP4M,27.2,2609495,2023-09-12 04:09:15 UTC,,,
0FD55WV3C6ENHX1JE0HRM3HNN3,27.2,2609495,2023-09-12 04:09:34 UTC,,,
0FD55X0SK6BKQMEGVGRSBT21WC,27.2,2609495,2023-09-12 04:09:53 UTC,,,
0FD55X6G45G21Y8NK5NNWJHG7F,27.2,2609495,2023-09-12 04:10:11 UTC,,,
0FD55XC63HFY5SGWKJSASDZE6K,27.2,2609495,2023-09-12 04:10:30 UTC,,,
0FD55XHW4CBSYP0HP3EYQSVKMA,27.2,2609495,2023-09-12 04:10:49 UTC,,,
0FD55XQJG2928Z186MP938EPW7,27.2,2609495,2023-09-12 04:11:07 UTC,,,
0FD55XX8TER59BK5RTWTTES2E1,27.2,2609495,2023-09-12 04:11:26 UTC,,,
0FD55Y2Z1C5GNNCM4MV1D2Z5ET,27.2,2609495,2023-09-12 04:11:45 UTC,,,
0FD55Y8NASGA965SQN007273PC,27.2,2609495,2023-09-12 04:12:03 UTC,,,
0FD55YEB8W1W8PY9DGYZH3S36P,27.2,2609495,2023-09-12 04:12:22 UTC,,,
0FD55YM19HYRR2ZGKCZA7HP8D8,27.2,2609495,2023-09-12 04:12:41 UTC,,,
0FD55YSQSC4NEV7DYRW67EAV6V,27.1,2609495,2023-09-12 04:12:59 UTC,,,
0FD55YZEA83F1EBHSC3B248NG3,27.2,2609495,2023-09-12 04:13:18 UTC,,,
0FD55Z542R3CH7EX5F95RZYAVB,27.1,2609495,2023-09-12 04:13:37 UTC,,,
0FD55ZATJFPR3C3NMJ07D7HD7R,27.1,2609495,2023-09-12 04:13:55 UTC,,,
0FD55ZGH77Y29Q6VBVA67SH0SJ,27.1,2609495,2023-09-12 04:14:14 UTC,,,
